GEO_ID,Division,Population,Male(%),Female(%),Median_age,Hispanic+Latino(%),White(%),Black(%),Amr_Indian+Alaska(%),Asian(%),Hawaiian(%),Other_race(%),More_races(%),Housing_units,Household_Median_Income (dollar) ,<9th_grade(%) ,High_school_or_higher(%),Bachelor_or_higher(%),Population_(16yr<),In_labor_force(%),Household_with_children (6~ 17yr),All_parents_in_labor_force_with_child(6~17yr)(%),Workers (16yr<),Mean_Commuting_time (minutes),With_health_insurance(%),Private_health_insurance(%),With_public_coverage(%),Num_Households,computing_devices>=1(%),Internet_access(%)
0500000US51163,Rockbridge County,22663,0.5,0.5,49,2.1,91.5,3.4,0.5,0.9,0,0.2,1.4,11261,57828,3.74,89,28,"19,165",55.1,"2,558",81.7,"9,729",27,93.2,70.1,42.3,9045,88.3,82.3
0500000US51165,Rockingham County,83090,0.49,0.51,40,7.5,87.5,2.3,0,0.9,0.1,0.3,1.5,35388,67484,5.76,86,28,"66,850",64.5,"12,232",79.8,"41,092",21.9,89.7,72.6,30.6,31189,88.62,81.29
0500000US51167,Russell County,25932,0.5,0.5,47,0.5,96.3,1.5,0.2,0,0,0,1.4,12857,41100,9.25,82,12,"21,644",44,"2,997",65.7,"8,609",28.2,92.7,56.3,49.4,10355,78.27,64.71
0500000US51169,Scott County,21576,0.51,0.49,47,1.4,96.4,0.9,0.2,0,0.1,0,0.9,11790,42561,8.45,82,14,"17,974",47,"2,458",65.6,"7,969",30.3,91,59.4,48.4,8612,78.94,69.3
0500000US51171,Shenandoah County,44037,0.49,0.51,44,7.6,86.4,1.8,0,1.1,0,0.2,2.8,21114,58609,3.81,89,20,"35,923",60.5,"6,016",75.8,"20,401",29.8,93.2,69.2,40.6,17487,87.58,81.15
0500000US51173,Smyth County,29960,0.5,0.5,45,2.2,93.8,2,0.2,0.6,0,0,1.2,15148,42588,5.88,84,16,"24,945",50.9,"3,639",70.7,"11,973",22.4,91.8,59.2,48,12607,84.11,77.61
0500000US51175,Southampton County,18028,0.53,0.47,47,2,60.8,31.6,0.2,0.2,0,0.4,4.7,7703,65079,4.9,86,19,"14,966",55.9,"2,255",83.1,"7,764",32.1,94.6,67.6,41.3,6661,88.2,81.85
0500000US51177,Spotsylvania County,138493,0.49,0.51,38,10.7,66,16.1,0.2,2.6,0,0.3,4.1,51085,98973,2.65,92,33,"108,285",68.3,"22,482",70.5,"68,338",37.9,92.4,76.7,29.6,47944,96.38,93.44
0500000US51179,Stafford County,154204,0.51,0.49,36,14.1,58.3,17.9,0.2,3.2,0,0.4,5.8,51947,119818,2.65,93,42,"118,615",69.4,"28,139",73.2,"77,282",39.2,92.8,83.1,22.6,49469,98.15,95.94
0500000US51181,Surry County,6563,0.49,0.51,50,2.7,53.2,43.2,0,0.1,0,0,0.7,3410,61105,4.3,85,23,  N/A , N/A, N/A, N/A, N/A, N/A, N/A,N/A,N/A,2720,84.01,72.76
0500000US51183,Sussex County,10960,0.6,0.4,41,3.2,38.8,55.9,0,0.3,0,0,1.7,4645,56968,5.74,80,13,"9,376",51.3,"1,089",77.2,"4,420",34.6,90.8,63.3,41.8,3656,83.92,74.62
0500000US51185,Tazewell County,40615,0.5,0.5,45,1.1,93.6,3.4,0.1,0.7,0,0,1.1,19946,42937,7.06,85,16,"33,500",46.8,"4,908",62.5,"14,255",25.1,92.7,56.6,50.1,15759,86.52,80.92
0500000US51187,Warren County,40442,0.5,0.5,41,5.4,85.3,4.5,0.1,1.2,0,0.6,3,16656,72840,3.84,88,22,"32,412",63.7,"5,459",66.1,"19,117",40,88.6,69.9,31.9,15082,92.58,87.81
0500000US51191,Washington County,53997,0.5,0.5,47,1.6,94.9,1.6,0.1,0.5,0,0,1.3,25490,54737,4.9,88,25,"45,688",54.7,"5,940",69.8,"23,403",24.9,91.3,62.9,42.7,21845,87.46,80.19
0500000US51193,Westmoreland County,18324,0.49,0.51,48,6.6,63.3,25.5,0.2,1,0,0.6,2.8,11080,53113,5.98,83,17,"15,264",54,"2,270",74.7,"7,236",40.4,89,62,47.7,7873,86.29,76.29
0500000US51195,Wise County,36531,0.53,0.47,42,1.3,91.1,5.4,0.2,0.5,0,0.2,1.4,16820,44884,7.46,78,15,"30,336",47.2,"4,394",65.5,"12,328",22.2,90.8,58.8,48.7,14025,86.18,68.68
0500000US51197,Wythe County,28347,0.49,0.51,46,1.3,93.5,2.1,0.1,0.8,0.1,0.2,2,14033,52726,3.51,89,20,"23,654",56.9,"3,502",73.5,"12,523",24,92.7,64.7,41.1,12125,86.19,78.15
0500000US51199,York County,69635,0.49,0.51,40,7,69.1,13,0.1,5.3,0,0.4,5,27633,96144,1.76,95,49,"54,950",67.4,"11,482",73.1,"34,810",24,96.4,87.5,25.9,25389,95.45,91.35
0500000US51510,Alexandria city,158185,0.48,0.52,37,16.5,51.5,21.1,0.1,6.4,0,0.3,4.1,80040,105450,4.13,93,65,"131,596",78.3,"16,039",70.1,"98,482",30.9,90.8,78.7,22.3,74224,96.66,93.2
0500000US51520,Bristol city,16996,0.47,0.53,43,2.6,87.8,6,0,0.3,0,0,3.4,8692,43879,2.57,87,23,"13,855",58,"2,208",70.1,"7,611",18.1,86.8,55.9,44,7347,85.31,76.59
0500000US51530,Buena Vista city,6649,0.46,0.54,36,1.7,87.3,7.5,0.1,0.7,0.3,0.5,1.8,2941,42156,5.74,80,19,  N/A , N/A, N/A, N/A, N/A, N/A, N/A,N/A,N/A,2581,83.84,84.15
0500000US51540,Charlottesville city,46597,0.48,0.52,33,5.7,65.4,17.9,0.2,7,0,0.5,3.3,21285,63470,2.79,92,58,"39,922",64.5,"4,143",77.4,"24,261",17.7,93,78.8,23.4,19312,95.05,87.87
0500000US51550,Chesapeake city,247172,0.49,0.51,37,6.8,55.8,28.8,0.1,3.4,0.1,0.5,4.5,94035,85563,2.1,94,35,"193,851",67,"39,809",74.5,"121,283",26.1,93.3,78.8,28.5,89413,96.62,93
